Text                 Line       Column (Start, End)  Type       
Unrecognized character: #
include              1          (2, 9)            Ident     
<stdio.h>            1          (10, 19)            Ident     
int                  3          (1, 4)            Ident     
func                 3          (5, 9)            Ident     
(                    3          (9, 10)            Ident     
int                  3          (10, 13)            Ident     
x                    3          (14, 15)            Ident     
,                    3          (15, 16)            Ident     
int                  3          (17, 20)            Ident     
y                    3          (21, 22)            Ident     
,                    3          (22, 23)            Ident     
int                  3          (24, 27)            Ident     
z                    3          (28, 29)            Ident     
)                    3          (29, 30)            Ident     
{                    4          (1, 2)            Ident     
return               5          (5, 11)            Ident     
z                    5          (12, 13)            Ident     
;                    5          (13, 14)            Ident     
}                    6          (1, 2)            Ident     
int                  8          (1, 4)            Ident     
main                 8          (5, 9)            Ident     
(                    8          (9, 10)            Ident     
)                    8          (10, 11)            Ident     
{                    9          (1, 2)            Ident     
const                10         (5, 10)            Ident     
int                  10         (11, 14)            Ident     
a                    10         (15, 16)            Ident     
[                    10         (16, 17)            Ident     
4                    10         (17, 18)            IntConst  
]                    10         (18, 19)            Ident     
[                    10         (19, 20)            Ident     
2                    10         (20, 21)            IntConst  
]                    10         (21, 22)            Ident     
=                    10         (23, 24)            Ident     
{                    10         (25, 26)            Ident     
{                    10         (26, 27)            Ident     
1                    10         (27, 28)            IntConst  
,                    10         (28, 29)            Ident     
2                    10         (30, 31)            IntConst  
}                    10         (31, 32)            Ident     
,                    10         (32, 33)            Ident     
{                    10         (34, 35)            Ident     
3                    10         (35, 36)            IntConst  
,                    10         (36, 37)            Ident     
4                    10         (38, 39)            IntConst  
}                    10         (39, 40)            Ident     
,                    10         (40, 41)            Ident     
{                    10         (42, 43)            Ident     
}                    10         (43, 44)            Ident     
,                    10         (44, 45)            Ident     
7                    10         (46, 47)            IntConst  
}                    10         (47, 48)            Ident     
;                    10         (48, 49)            Ident     
const                11         (5, 10)            Ident     
int                  11         (11, 14)            Ident     
N                    11         (15, 16)            Ident     
=                    11         (17, 18)            Ident     
3                    11         (19, 20)            IntConst  
;                    11         (20, 21)            Ident     
